[0.6761126  0.19727114 0.12661628]
[0.5274234  0.46772954 0.00484712]
[0.484142   0.5138863  0.00197177]
[0.46076557 0.5371157  0.00211874]
[0.45899    0.53898835 0.00202171]
[0.47097588 0.52699834 0.00202588]
[0.48069835 0.5176426  0.00165907]
[0.46619356 0.5329574  0.00084908]
[0.4786411 0.5204348 0.0009241]
[0.48251364 0.5163648  0.00112159]
[0.49618146 0.50240195 0.00141661]
[0.49638316 0.5014906  0.00212622]
[0.49041903 0.5066906  0.00289044]
[0.4553376  0.53992295 0.00473942]
[0.4004319 0.5939848 0.0055833]
[0.42229    0.56894195 0.00876814]
[0.47911078 0.5031814  0.01770778]
[0.50504434 0.4617483  0.03320731]
[0.5231332  0.4170213  0.05984545]
[0.5357379  0.38460267 0.07965942]
[0.5474735  0.36218587 0.09034058]
[0.55660707 0.35112    0.09227294]
[0.55849266 0.34828132 0.09322593]
[0.55353886 0.3471051  0.09935608]
[0.5531206  0.34585223 0.10102716]
[0.54749066 0.3471295  0.10537987]
[0.5431601  0.35041404 0.10642598]
[0.5360979  0.36218405 0.10171812]
[0.5402413  0.3629005  0.09685817]
[0.5378639  0.37698326 0.08515293]
[0.5370496  0.38655236 0.07639804]
[0.53348744 0.39837423 0.06813826]
[0.53985184 0.39250496 0.06764317]
[0.5125233  0.43463823 0.05283849]
[0.4953289  0.45729336 0.04737768]
[0.48481217 0.47093776 0.04425007]
[0.5092699  0.44170624 0.04902383]
[0.52883947 0.42150375 0.04965673]
[0.5639412  0.38087744 0.05518137]
[0.5874388  0.35505614 0.05750511]
[0.59726524 0.34495893 0.05777578]
[0.60282946 0.34342518 0.05374533]
[0.60552543 0.34416848 0.05030604]
[0.60908604 0.3426779  0.04823617]
[0.6048006  0.3514513  0.04374814]
[0.6043861  0.35396975 0.04164414]
[0.59518224 0.36318073 0.04163703]
[0.5865769  0.37125215 0.04217095]
[0.57812357 0.37858084 0.04329555]
[0.5672554  0.38831416 0.04443049]
[0.5564767  0.39883047 0.04469282]
[0.54639566 0.41042626 0.04317811]
[0.53922725 0.41795486 0.0428178 ]
[0.53623086 0.4218098  0.04195941]
[0.53567356 0.42275286 0.04157363]
[0.5331368  0.42680156 0.04006168]
[0.52779496 0.4368948  0.03531018]
[0.5267414  0.43460083 0.03865775]
[0.52248627 0.44357213 0.03394157]
[0.52016616 0.44871584 0.03111795]
